,Age,Candidate,Criminal_Case,District,Education,Party,State,Winner,Year,Liabilities_num,Assets_num
1385,62,Vijay Shankar Pandey,0,FAIZABAD,Post Graduate,Lok Gathbandhan Party,UTTAR PRADESH,No,2019,2400000,15509419
1386,68,Jagdambika Pal,3,DOMARIYAGANJ,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,2838478,103366710
1387,37,Aftab Alam,3,DOMARIYAGANJ,Graduate,BSP,UTTAR PRADESH,No,2019,19391778,63242772
1388,50,Arjun Singh Lodhi,0,DOMARIYAGANJ,Post Graduate,Bahujan Mukti Party,UTTAR PRADESH,No,2019,0,5236000
1389,46,Brijesh Kumar,0,DOMARIYAGANJ,Literate,Janhit Kisan Party,UTTAR PRADESH,No,2019,1800000,16700000
1390,37,Chandrash,0,DOMARIYAGANJ,Post Graduate,INC,UTTAR PRADESH,No,2019,24438446,64076173
1391,35,Keshari Nandan,0,DOMARIYAGANJ,8th Pass,Sabka Dal United,UTTAR PRADESH,No,2019,0,5626000
1392,67,Vijay Kumar Singh,2,GHAZIABAD,Doctorate,BJP,UTTAR PRADESH,Yes,2019,0,56545702
1393,37,Amit Sharma,0,GHAZIABAD,10th Pass,IND,UTTAR PRADESH,No,2019,341233,4775000
1394,62,Ashok Sharma,0,GHAZIABAD,Post Graduate,Subhashwadi Bhartiya Samajwadi Party,UTTAR PRADESH,No,2019,0,11721492
1395,51,Divya Yog Maya Saraswati,2,GHAZIABAD,Illiterate,Rashtriya Bharatiya Jan Jan Party,UTTAR PRADESH,No,2019,0,650000
1396,34,Dolly Sharma,0,GHAZIABAD,Post Graduate,INC,UTTAR PRADESH,No,2019,0,21001366
1397,36,Keshav,0,DOMARIYAGANJ,8th Pass,Suheldev Bhartiya Samaj Party,UTTAR PRADESH,No,2019,600000,2893000
1398,44,Sanjay Kumar Chauhan,0,DOMARIYAGANJ,Graduate,Nagrik Ekta Party,UTTAR PRADESH,No,2019,389500,273900
1399,33,Shravan Kumar,0,DOMARIYAGANJ,12th Pass,IND,UTTAR PRADESH,No,2019,0,52000
1400,42,Bhola Singh,1,BULANDSHAHR,Graduate,BJP,UTTAR PRADESH,Yes,2019,0,18728861
1401,58,Banshi Singh,3,BULANDSHAHR,10th Pass,INC,UTTAR PRADESH,No,2019,360000,13324200
1402,30,Manoj Kumar Singh,0,BULANDSHAHR,Graduate,IND,UTTAR PRADESH,No,2019,0,1456186
1403,49,Pramod Kumar,0,BULANDSHAHR,Graduate,Rashtriya Samaj Paksha,UTTAR PRADESH,No,2019,0,11102000
1404,43,Radhika Devi,0,BULANDSHAHR,Doctorate,IND,UTTAR PRADESH,No,2019,8830049,18337750
1405,60,Mohan Lal,0,GHAZIABAD,Graduate Professional,RPI(A),UTTAR PRADESH,No,2019,0,19023713
1406,50,Mohd. Salim Ahmed,0,GHAZIABAD,Literate,Sabse Achchhi Party,UTTAR PRADESH,No,2019,0,3252000
1407,32,Reena Devi,0,BULANDSHAHR,8th Pass,National Bhrashtachar Mukt Party,UTTAR PRADESH,No,2019,0,120000
1408,47,Satish,0,BULANDSHAHR,Not Given,Bharatiya Bahujan Parivartan Party,UTTAR PRADESH,No,2019,0,590000
1409,37,Vinay Kumar,0,BULANDSHAHR,Graduate Professional,Aapki Apni Party (Peoples),UTTAR PRADESH,No,2019,560300,1365000
1410,50,Yogesh Verma,28,BULANDSHAHR,12th Pass,BSP,UTTAR PRADESH,No,2019,8609902,47337130
1411,50,Nagendra Kumar,0,GHAZIABAD,Graduate,SHS,UTTAR PRADESH,No,2019,785000,4392354
1412,42,Rakesh Suri,0,GHAZIABAD,Graduate,Right to Recall Party,UTTAR PRADESH,No,2019,0,157942
1413,56,Sewa Ram Kasana,5,GHAZIABAD,10th Pass,Pragatishil Samajwadi Party (Lohia),UTTAR PRADESH,No,2019,1203000,98576712
1414,38,Sunil Nair,3,GHAZIABAD,Illiterate,Rashtriya Lok Sarvadhikar Party,UTTAR PRADESH,No,2019,0,150000
